Base_Location,TOC,Criticality,Location,Location_Type,Natural_Frequency,Data_Type,Option_1,Option_2,Option_3,Option_4,Option_5,min_value,max_value,Date,value
Wessex,x,x,Wessex,Route,Period,Temp_Speed_Restrictions,Safety,Unplanned,Primary,x,x,0.0,6.0,2006-01-07,1.0
Wessex,x,x,Wessex,Route,Period,Temp_Speed_Restrictions,Safety,Unplanned,Secondary,x,x,0.0,3.0,2006-01-07,0.0
Wessex,x,x,Wessex,Route,Period,Temp_Speed_Restrictions,Structures,Planned,Primary,x,x,0.0,2.0,2006-01-07,0.0
Wessex,x,x,Wessex,Route,Period,Temp_Speed_Restrictions,Structures,Planned,Secondary,x,x,0.0,2.0,2006-01-07,0.0
Wessex,x,x,Wessex,Route,Period,Temp_Speed_Restrictions,Structures,Unplanned,Primary,x,x,0.0,4.0,2006-01-07,0.0
Wessex,x,x,Wessex,Route,Period,Temp_Speed_Restrictions,Structures,Unplanned,Secondary,x,x,0.0,4.0,2006-01-07,0.0
Wessex,x,x,Wessex,Route,Period,Temp_Speed_Restrictions,Track,Planned,Primary,x,x,0.0,15.0,2006-01-07,9.0
Wessex,x,x,Wessex,Route,Period,Temp_Speed_Restrictions,Track,Planned,Secondary,x,x,0.0,7.0,2006-01-07,0.0
Wessex,x,x,Wessex,Route,Period,Temp_Speed_Restrictions,Track,Unplanned,Primary,x,x,0.0,26.0,2006-01-07,1.0
Wessex,x,x,Wessex,Route,Period,Temp_Speed_Restrictions,Track,Unplanned,Secondary,x,x,0.0,53.0,2006-01-07,0.0
Western,x,x,Western,Route,Period,Temp_Speed_Restrictions,Earthworks,Planned,Primary,x,x,0.0,7.0,2006-01-07,4.0
Western,x,x,Western,Route,Period,Temp_Speed_Restrictions,Earthworks,Planned,Secondary,x,x,0.0,5.0,2006-01-07,1.0
Western,x,x,Western,Route,Period,Temp_Speed_Restrictions,Earthworks,Unplanned,Primary,x,x,0.0,10.0,2006-01-07,5.0
Western,x,x,Western,Route,Period,Temp_Speed_Restrictions,Earthworks,Unplanned,Secondary,x,x,0.0,8.0,2006-01-07,0.0
Western,x,x,Western,Route,Period,Temp_Speed_Restrictions,Gcc,Unplanned,Primary,x,x,0.0,1.0,2006-01-07,0.0
Western,x,x,Western,Route,Period,Temp_Speed_Restrictions,Gcc,Unplanned,Secondary,x,x,0.0,1.0,2006-01-07,0.0
Western,x,x,Western,Route,Period,Temp_Speed_Restrictions,Safety,Planned,Primary,x,x,0.0,7.0,2006-01-07,1.0
Western,x,x,Western,Route,Period,Temp_Speed_Restrictions,Safety,Planned,Secondary,x,x,0.0,2.0,2006-01-07,1.0
Western,x,x,Western,Route,Period,Temp_Speed_Restrictions,Safety,Unplanned,Primary,x,x,0.0,12.0,2006-01-07,0.0
Western,x,x,Western,Route,Period,Temp_Speed_Restrictions,Safety,Unplanned,Secondary,x,x,0.0,5.0,2006-01-07,0.0
Western,x,x,Western,Route,Period,Temp_Speed_Restrictions,Structures,Planned,Primary,x,x,0.0,4.0,2006-01-07,0.0
Western,x,x,Western,Route,Period,Temp_Speed_Restrictions,Structures,Planned,Secondary,x,x,0.0,1.0,2006-01-07,0.0
Western,x,x,Western,Route,Period,Temp_Speed_Restrictions,Structures,Unplanned,Primary,x,x,0.0,2.0,2006-01-07,0.0
Western,x,x,Western,Route,Period,Temp_Speed_Restrictions,Structures,Unplanned,Secondary,x,x,0.0,2.0,2006-01-07,0.0
Western,x,x,Western,Route,Period,Temp_Speed_Restrictions,Track,Planned,Primary,x,x,0.0,43.0,2006-01-07,31.0
Western,x,x,Western,Route,Period,Temp_Speed_Restrictions,Track,Planned,Secondary,x,x,0.0,9.0,2006-01-07,8.0
Western,x,x,Western,Route,Period,Temp_Speed_Restrictions,Track,Unplanned,Primary,x,x,0.0,21.0,2006-01-07,8.0
Western,x,x,Western,Route,Period,Temp_Speed_Restrictions,Track,Unplanned,Secondary,x,x,0.0,16.0,2006-01-07,2.0
Anglia,x,x,Anglia,Route,Period,Temp_Speed_Restrictions,Earthworks,Planned,Primary,x,x,0.0,4.0,2006-02-04,0.0
Anglia,x,x,Anglia,Route,Period,Temp_Speed_Restrictions,Earthworks,Planned,Secondary,x,x,0.0,2.0,2006-02-04,0.0
Anglia,x,x,Anglia,Route,Period,Temp_Speed_Restrictions,Earthworks,Unplanned,Primary,x,x,0.0,7.0,2006-02-04,1.0
Anglia,x,x,Anglia,Route,Period,Temp_Speed_Restrictions,Earthworks,Unplanned,Secondary,x,x,0.0,2.0,2006-02-04,0.0
Anglia,x,x,Anglia,Route,Period,Temp_Speed_Restrictions,Gcc,Unplanned,Primary,x,x,0.0,1.0,2006-02-04,1.0
Anglia,x,x,Anglia,Route,Period,Temp_Speed_Restrictions,Gcc,Unplanned,Secondary,x,x,0.0,1.0,2006-02-04,0.0
Anglia,x,x,Anglia,Route,Period,Temp_Speed_Restrictions,Safety,Planned,Primary,x,x,0.0,17.0,2006-02-04,0.0
Anglia,x,x,Anglia,Route,Period,Temp_Speed_Restrictions,Safety,Planned,Secondary,x,x,0.0,9.0,2006-02-04,0.0
Anglia,x,x,Anglia,Route,Period,Temp_Speed_Restrictions,Safety,Unplanned,Primary,x,x,0.0,18.0,2006-02-04,1.0
Anglia,x,x,Anglia,Route,Period,Temp_Speed_Restrictions,Safety,Unplanned,Secondary,x,x,0.0,7.0,2006-02-04,0.0
Anglia,x,x,Anglia,Route,Period,Temp_Speed_Restrictions,Structures,Planned,Primary,x,x,0.0,2.0,2006-02-04,0.0
Anglia,x,x,Anglia,Route,Period,Temp_Speed_Restrictions,Structures,Planned,Secondary,x,x,0.0,2.0,2006-02-04,0.0
Anglia,x,x,Anglia,Route,Period,Temp_Speed_Restrictions,Structures,Unplanned,Primary,x,x,0.0,4.0,2006-02-04,0.0
Anglia,x,x,Anglia,Route,Period,Temp_Speed_Restrictions,Structures,Unplanned,Secondary,x,x,0.0,2.0,2006-02-04,0.0
Anglia,x,x,Anglia,Route,Period,Temp_Speed_Restrictions,Track,Planned,Primary,x,x,0.0,17.0,2006-02-04,3.0
Anglia,x,x,Anglia,Route,Period,Temp_Speed_Restrictions,Track,Planned,Secondary,x,x,0.0,8.0,2006-02-04,0.0
Anglia,x,x,Anglia,Route,Period,Temp_Speed_Restrictions,Track,Unplanned,Primary,x,x,0.0,48.0,2006-02-04,4.0
Anglia,x,x,Anglia,Route,Period,Temp_Speed_Restrictions,Track,Unplanned,Secondary,x,x,0.0,26.0,2006-02-04,0.0
Kent,x,x,Kent,Route,Period,Temp_Speed_Restrictions,Earthworks,Planned,Primary,x,x,0.0,3.0,2006-02-04,0.0
Kent,x,x,Kent,Route,Period,Temp_Speed_Restrictions,Earthworks,Planned,Secondary,x,x,0.0,3.0,2006-02-04,0.0
Kent,x,x,Kent,Route,Period,Temp_Speed_Restrictions,Earthworks,Unplanned,Primary,x,x,0.0,18.0,2006-02-04,0.0
Kent,x,x,Kent,Route,Period,Temp_Speed_Restrictions,Earthworks,Unplanned,Secondary,x,x,0.0,6.0,2006-02-04,0.0
Kent,x,x,Kent,Route,Period,Temp_Speed_Restrictions,Gcc,Unplanned,Primary,x,x,0.0,1.0,2006-02-04,0.0
Kent,x,x,Kent,Route,Period,Temp_Speed_Restrictions,Gcc,Unplanned,Secondary,x,x,0.0,1.0,2006-02-04,0.0
Kent,x,x,Kent,Route,Period,Temp_Speed_Restrictions,Safety,Planned,Primary,x,x,0.0,5.0,2006-02-04,0.0
Kent,x,x,Kent,Route,Period,Temp_Speed_Restrictions,Safety,Planned,Secondary,x,x,0.0,2.0,2006-02-04,0.0
Kent,x,x,Kent,Route,Period,Temp_Speed_Restrictions,Safety,Unplanned,Primary,x,x,0.0,4.0,2006-02-04,0.0
Kent,x,x,Kent,Route,Period,Temp_Speed_Restrictions,Safety,Unplanned,Secondary,x,x,0.0,4.0,2006-02-04,0.0
Kent,x,x,Kent,Route,Period,Temp_Speed_Restrictions,Structures,Planned,Primary,x,x,0.0,6.0,2006-02-04,0.0
Kent,x,x,Kent,Route,Period,Temp_Speed_Restrictions,Structures,Planned,Secondary,x,x,0.0,7.0,2006-02-04,0.0
Kent,x,x,Kent,Route,Period,Temp_Speed_Restrictions,Structures,Unplanned,Primary,x,x,0.0,6.0,2006-02-04,0.0
Kent,x,x,Kent,Route,Period,Temp_Speed_Restrictions,Structures,Unplanned,Secondary,x,x,0.0,2.0,2006-02-04,0.0
Kent,x,x,Kent,Route,Period,Temp_Speed_Restrictions,Track,Planned,Primary,x,x,0.0,10.0,2006-02-04,1.0
